user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family
15988,454,292,0,2,0,0,Naucoridae
43886,2620,22022,0,5,0,6,Nepidae
0,0,0,0,0,0,0,Nogodinidae
205265,1680,5633,0,1,0,3,Notonectidae
0,0,0,0,0,0,0,Ochteridae
0,0,0,0,0,0,0,Paraphrynoveliidae
0,0,0,0,0,0,0,Peloridiidae
1393917,56897,824633,32,47,0,369,Pentatomidae
0,0,0,0,0,0,0,Phloeidae
0,0,0,0,0,0,0,Phylloxeroidea
0,0,0,0,0,0,0,Phymatidae
0,0,0,0,0,0,0,Piesmatidae
7146,56,3493,14,1,0,55,Plataspidae
0,0,0,0,0,0,0,Pleidae
0,0,0,0,0,0,0,Plokiophilidae
3054,630,428,2,0,0,11,Psylloidea
147788,6234,81844,1,12,0,57,Pyrrhocoridae
833687,36401,439723,114,64,11,801,Reduviidae
113757,8271,40417,6,6,1,52,Rhopalidae
6006,110,6658,1,0,0,11,Ricaniidae
7166,1296,1088,0,0,0,0,Saldidae
30443,3,3857,0,0,0,1,Schizopteridae
467764,8848,84819,36,21,3,341,Scutelleridae
1023,591,637,2,0,0,12,Stenocephalidae
7198,2,136,0,0,0,0,Termitaphididae
17538,191,3407,26,2,2,129,Tessaratomidae
0,0,0,0,0,0,0,Tettigometridae
0,0,0,0,0,0,0,Thaumastocoridae
890085,3178,15289,13,5,1,85,Tingidae
30443,3,3857,0,0,0,1,Tropiduchidae
19,27,26,2,0,0,13,Veliidae
0,0,0,0,0,0,0,Velocipedidae
3417,414,399,0,0,0,5,Agaonidae
0,0,0,0,0,0,0,Ampulicidae
0,0,0,0,0,0,0,Anaxyelidae
289270,23276,36681,12,24,0,116,Andrenidae
17585,878,3069,6,7,0,35,Aphelinidae
3146695,77289,271949,188,47,11,710,Apidae
238416,6077,25876,0,4,0,3,Argidae
57885,2,409,0,1,0,0,Aulacidae
104411,7567,4580,0,1,0,21,Bethylidae
0,0,0,0,0,0,0,Blasticotomidae
273454,16413,94377,18,20,4,115,Braconidae
57885,2,409,0,1,0,0,Bradynobaenidae
99487,200,2819,6,4,0,30,Cephidae
10310,674,946,1,6,0,13,Ceraphronidae
87369,3563,9242,5,7,0,53,Chalcididae
363121,20059,33908,19,11,1,177,Chrysididae
103409,4582,18195,0,3,0,13,Cimbicidae
42405,6914,10195,4,3,0,15,Colletidae
91105,2594,28815,5,6,0,98,Crabronidae
86163,2324,1813,12,9,0,49,Cynipidae
6006,541,1303,3,1,1,14,Diapriidae
453,553,109,0,0,0,2,Diprionidae
61066,292,4032,1,0,0,2,Encyrtidae
41607,423,973,0,2,0,1,Eucharitidae
107551,14400,16639,25,4,0,169,Eulophidae
37641,5,3993,2,0,0,1,Eupelmidae
10615,416,535,0,0,0,2,Eurytomidae
148243,5364,125076,28,13,4,193,Evaniidae
21594,6,408,0,0,0,0,Figitidae
1902888,76845,116586,82,43,10,638,Formicidae
1942,344,1034,0,0,0,3,Gasteruptiidae
641138,14643,81379,60,19,7,250,Halictidae
0,0,0,0,0,0,0,Heloridae
0,0,0,0,0,0,0,Ibaliidae
1642658,42031,309623,203,63,13,1004,Ichneumonidae
1893,2431,766,0,2,0,7,Liopteridae
0,0,0,0,0,0,0,Maamingidae
227252,19332,27367,33,19,2,288,Megachilidae
0,0,0,0,0,0,0,Megalodontesidae
0,0,0,0,0,0,0,Megalyridae
0,0,0,0,0,0,0,Megaspilidae
