,internalTaxonId,scientificName,name,language,main
1386,166212,Liniparhomaloptera disparis,Cá Vây bằng na rì,Vietnamese,True
1388,166214,Microphysogobio kachekensis,嘉积小鳔鮈,Chinese,True
1389,166215,Gobiobotia longibarba,长须鳅鮀,Chinese,True
1390,166216,Coilia grayii,Grey’s Grenadier Anchovy,English,True
1391,166261,Pomacea canaliculata,Channeled Applesnail,English,True
1392,166265,Cipangopaludina chinensis,Chinese Mystery Snail,English,True
1393,166312,Ferrissia parallela,oblong ancylid,English,True
1396,166410,Ophisternon bengalense,Bengal Mud Eel,English,True
1399,166442,Tenualosa ilisha,Hilsa,English,True
1400,166446,Arius arius,Threadfin Sea Catfish,English,True
1401,166466,Acantopsis choirorhynchos,Horse face loach,English,True
1402,166477,Aplocheilus panchax,Blue Panchax,English,True
1405,166546,Amblyeleotris gymnocephala,Masked Shrimpgoby,English,True
1410,166566,Toxotes chatareus,Seven-spot Archerfish,English,True
1411,166584,Channa orientalis,Smooth-breasted Snakehead,English,True
1412,166598,Drombus globiceps,Bighead goby,English,True
1422,166627,Lates calcarifer,Barramundi,English,True
1423,166774,Polymesoda bengalensis,Bengali Geloina,English,True
1424,166853,Hemiculter elongatus,cá mương dài,Vietnamese,True
1426,166857,Placocheilus caudofasciatus,Cá Lun,Vietnamese,True
1431,166858,Hainania serrata,Hainan Minnow,English,True
1432,166861,Sinibrama melrosei,cá nhác,Vietnamese,True
1434,166864,Rasbora trilineata,Scissortail Rasbora,English,True
1437,166870,Pareuchiloglanis macrotrema,cá chiển bẹt,Vietnamese,True
1438,166875,Vanmanenia tetraloba,Cá vây bằng bốn thuý,Vietnamese,True
1439,166876,Spinibarbus hollandi,cá chày đất,Vietnamese,True
1442,166878,Spinibarbus denticulatus,Cá Bỗng,Vietnamese,True
1443,166879,Gerres limbatus,cá móm xiên,Vietnamese,True
1448,166880,Toxabramis houdemeri,Cá Dầu,Vietnamese,True
1449,166883,Opsariichthys bidens,cá cháo thường,Vietnamese,True
1452,166886,Hypophthalmichthys harmandi,Cá Mè trắng,Vietnamese,True
1454,166893,Ambassis vachellii,Vachell's Glassfish,English,True
1457,166896,Glyptothorax honghensis,cá chiên suối sông hồng,Vietnamese,True
1460,166898,Scaphiodonichthys macracanthus,cá pang,Vietnamese,True
1463,166903,Semilabeo notabilis,cá anh vũ,Vietnamese,True
1465,166904,Cynoglossus lingua,Long Tonguesole,English,True
1485,166905,Lutjanus erythropterus,Crimson Snapper,English,True
1489,166907,Beaufortia leveretti,Leveretts Flossensauger,German,True
1490,166909,Folifer brevifilis,cá ngựa bắc,English,True
1491,166912,Parazacco spilurus,cá chuôn,Vietnamese,True
1496,166914,Barbonymus gonionotus,Silver Barb,English,True
1499,166915,Onychostoma lepturum,Thintail shoveljaw carp,English,True
1502,166916,Saurogobio immaculatus,Cá Đục đanh,Vietnamese,True
1503,166917,Bagarius rutilus,cá chiên bắc,Vietnamese,True
1509,166921,Pseudohemiculter hainanensis,cá dầu sông,Vietnamese,True
1512,166924,Pseudolaubuca sinensis,cá thiên hô,Vietnamese,True
1523,166929,Echidna polyzona,Barred Moray,English,True
1532,166930,Squaliobarbus curriculus,Barbel chub ,English,True
1533,166934,Spinibarbus ovalius,cá bỗng hồng,Vietnamese,True
1538,166935,Trypauchen vagina,Burrowing Goby,English,True
1542,166936,Barbodes semifasciolatus,Golden Barb,English,True
1543,166939,Cranoglanis henrici,Ca Nganh thuong,Vietnamese,True
1544,166940,Cynoglossus trigrammus,cá bơn cát,Vietnamese,True
1552,166942,Gymnothorax buroensis,Buro Moray,English,True
1553,166943,Onychostoma lini,cá sỉnh râu,Vietnamese,True
1554,166944,Osteomugil perusii,Longfinned Mullet,English,True
1556,166947,Lagocephalus sceleratus,Silver-cheeked Toadfish,English,True
1559,166950,Rasbora steineri,cá mại sọc,Vietnamese,True
1570,166951,Silurus asotus,Amur catfish,English,True
1571,166955,Parapocryptes serperaster,cá bống xệ,Vietnamese,True
1573,166958,Parazacco fasciatus,cá lá giang,English,True
1578,166962,Rhodeus spinalis,Cá Thè be,Vietnamese,True
1580,166963,Taenioides gracilis,Slender Eel Goby,English,True
1583,166967,Sinogastromyzon tonkinensis,Cá Bám vây liền bắc bộ,Vietnamese,True
1584,166972,Poropuntius krempfi,cá chát trắng,Vietnamese,True
1588,166976,Onychostoma simum,cá sỉnh ,Vietnamese,True
1591,166978,Sinobdella sinensis,Cá Chạch gai,Vietnamese,True
1593,166979,Oryzias latipes,ミナミメダカ,Japanese,True
1597,166980,Rhinogobius giurinus,Barcheek goby,English,True
1598,166981,Poropuntius kontumensis,cá chat kom tum,Vietnamese,True
1600,166982,Periophthalmodon schlosseri,Giant Mudskipper,English,True
1603,166988,Neolissochilus benasi,cá rai,Vietnamese,True
1615,166990,Boleophthalmus boddarti,Boddart's Goggle-eyed Goby,English,True
1618,166991,Pterocryptis cochinchinensis,cá thèo,Vietnamese,True
1619,166997,Tetraodon biocellatus,cá nóc xanh chấm,Vietnamese,True
1620,167004,Garra laichowensis,cá mỡ,Vietnamese,True
1621,167005,Abbottina binhi,Cá Dục Đanh Hoa,Vietnamese,True
1622,167006,Takifugu ocellatus,Ocellated Puffer,English,True
1623,167007,Scaphiodonichthys acanthopterus,cá mọm điện biên,Vietnamese,True
1625,167008,Ochetobius elongatus,cá trày tràng,Vietnamese,True
1626,167010,Oxyurichthys tentacularis,cá bống vân mắt,Vietnamese,True
1629,167011,Sinogastromyzon chapaensis,Cá Bám vây liền sapa,Vietnamese,True
1633,167012,Squalidus atromaculatus,cá đục trắng dài,Vietnamese,True
1636,167032,Cipangopaludina leucythoides,ốc nứa,Vietnamese,True
1637,167038,Sinotaia aeruginosa,ốc vặn,Vietnamese,True
1638,167173,Fukienogomphus choifongae,Hong Kong Tusktail,English,True
1639,167856,Elatine triandra,Mudwort,English,True
1640,167888,Nuphar pumila,Least Water-lily,English,True
1642,167903,Potamogeton friesii,Flat-stalked Pondweed,English,True
1646,168251,Garra imberbis,Karin-hills Garra,English,True
1647,168409,Danio margaritatus,Celestial Pearl Danio,English,True
1650,168540,Chaudhuria caudata,Inle swamp eel,English,True
1651,168638,Isachne globosa,Swamp Millet,English,True
1652,168729,Poa annua,Annual Meadow Grass,English,True
1653,168737,Epilobium palustre,Beo-deul-ba-neul-kkot,Korean,True
1658,168798,Drosera rotundifolia,Common Sundew,English,True
1663,168960,Plantago major,Broadleaf Plantain,English,True
1664,168964,Schoenoplectiella supina,Souchet étalé,French,True
1666,168983,Paspalum scrobiculatum,Kodo Millet,English,True
1671,169030,Paspalum distichum,Knotgrass,English,True
1674,169043,Brachiaria reptans,Creeping Panic Grass,English,True
1675,169055,Fimbristylis quinquangularis,Cỏ Gà,Vietnamese,True
