,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
37514,10361429,40741,Banza nihoa,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Banza,nihoa,,,,"Hebard, 1926",Vulnerable,B1+2bd,2.3,,Global
37516,10362550,40757,Eximacris superbum,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Eximacris,superbum,,,,"(Hebard, 1937)",Vulnerable,B1+2bd,2.3,,Global
37689,10449378,4134,Cephalaeschna acutifrons,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,AESHNIDAE,Cephalaeschna,acutifrons,,,,"(Martin, 1909)",Data Deficient,,3.1,Unknown,Global
37704,10503380,4166,Cerambyx cerdo,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Cerambyx,cerdo,,,,"Linnaeus, 1758",Vulnerable,A1c+2c,2.3,,Global
37777,10592273,41982,Dorymyrmex insanus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Dorymyrmex,insanus,,,,"Buckley, 1866",Vulnerable,D2,2.3,,Global
37779,10592704,41983,Crematogaster pilosa,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Crematogaster,pilosa,,,,"Emery, 1895",Vulnerable,D2,2.3,,Global
37780,10593077,41984,Formica pratensis,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Formica,pratensis,,,,"Retzius, 1783",Lower Risk/near threatened,,2.3,,Global
37782,10593624,41985,Leptothorax recedens,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Leptothorax,recedens,,,,"Nylander, 1856",Lower Risk/least concern,,2.3,,Global
38047,10730121,42684,Macromidia ishidai,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,NOT ASSIGNED,Macromidia,ishidai,,,,"Asahina, 1964",Least Concern,,3.1,Stable,Global
38174,10758888,42843,Pseudagrion newtoni,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Pseudagrion,newtoni,,,,"Pinhey, 1962",Vulnerable,D2,3.1,Stable,"Global, Pan-Africa & S. Africa FW"
39200,10846836,4406,Chalepoxenus tarbinskii,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,tarbinskii,,,,"(Arnol'di, in Tarbinsky, 1976)",Vulnerable,D2,2.3,,Global
39217,10849222,4408,Chalepoxenus tramieri,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,tramieri,,,,"Cagniant, 1983",Vulnerable,D2,2.3,,Global
39229,10850295,4402,Chalepoxenus brunneus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,brunneus,,,,"Cagniant, 1985",Vulnerable,D2,2.3,,Global
39235,10850837,4409,Chalepoxenus zabelini,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,zabelini,,,,"Radchenko, 1989",Vulnerable,D2,2.3,,Global
39245,10851926,4403,Chalepoxenus muellerianus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,muellerianus,,,,"(Finzi, 1922)",Vulnerable,D2,2.3,,Global
39251,10852706,4404,Chalepoxenus kutteri,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,kutteri,,,,"Cagniant, 1973",Vulnerable,D2,2.3,,Global
39252,10853637,4405,Chalepoxenus spinosus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,spinosus,,,,"(Arnol'di, 1968)",Vulnerable,D2,2.3,,Global
39265,10854795,4407,Chalepoxenus tauricus,ANIMALIA,ARTHROPODA,HYMENOPTERA,INSECTA,FORMICIDAE,Chalepoxenus,tauricus,,,,"Radchenko, 1989",Vulnerable,D2,2.3,,Global
39523,10917693,44542,Omiodes asaphombra,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Omiodes,asaphombra,,,,"Meyrick, 1899",Data Deficient,,3.1,Unknown,Global
39524,10917790,44543,Omiodes continuatalis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Omiodes,continuatalis,,,,"Wallengren, 1860",Data Deficient,,3.1,,Global
39525,10917885,44544,Omiodes epicentra,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Omiodes,epicentra,,,,"Meyrick, 1899",Data Deficient,,3.1,Unknown,Global
39526,10917982,44545,Omiodes euryprora,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Omiodes,euryprora,,,,"Meyrick, 1899",Data Deficient,,3.1,Unknown,Global
39527,10918078,44546,Omiodes fullawayi,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Omiodes,fullawayi,,,,"Swezey, 1913",Data Deficient,,3.1,Unknown,Global
39528,10918174,44547,Omiodes laysanensis,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Omiodes,laysanensis,,,,"Meyrick, 1914",Data Deficient,,3.1,Unknown,Global
39529,10918270,44548,Omiodes meyricki,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Omiodes,meyricki,,,,"Swezey, 1907",Data Deficient,,3.1,Unknown,Global
39530,10918366,44549,Omiodes musicola,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Omiodes,musicola,,,,"Swezey, 1909",Data Deficient,,3.1,Unknown,Global
39531,10918462,44550,Omiodes telegrapha,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,CRAMBIDAE,Omiodes,telegrapha,,,,"Meyrick, 1899",Data Deficient,,3.1,Unknown,Global
41530,11090163,4710,Chloealtis aspasma,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,ACRIDIDAE,Chloealtis,aspasma,,,,"Rehn &amp; Hebard, 1919",Vulnerable,B1+2bd,2.3,,Global
41531,11090278,4726,Chlorogomphus iriomotensis,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,CHLOROGOMPHIDAE,Chlorogomphus,iriomotensis,,,,"Ishida, 1972",Least Concern,,3.1,Stable,Global
41532,11090478,4727,Chlorogomphus okinawensis,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,CHLOROGOMPHIDAE,Chlorogomphus,okinawensis,,,,"Ishida, 1964",Endangered,B1+2c,2.3,,Global
41533,11090775,4730,Chlorolestes draconicus,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,SYNLESTIDAE,Chlorolestes,draconicus,,,,"Balinsky, 1956",Least Concern,,3.1,Stable,"Global, Pan-Africa & S. Africa FW"
41543,11098387,4825,Chrysoritis cotrelli,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Chrysoritis,cotrelli,,,,"(Dickson, 1975)",Critically Endangered,B1+2c,2.3,,Global
41544,11098492,4826,Chrysoritis oreas,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,LYCAENIDAE,Chrysoritis,oreas,,,,"(Trimen, 1891)",Lower Risk/near threatened,,2.3,,Global
41556,11102700,4961,Clavicoccus erinaceus,ANIMALIA,ARTHROPODA,HEMIPTERA,INSECTA,PSEUDOCOCCIDAE,Clavicoccus,erinaceus,,,,"Ferris, 1948",Extinct,,2.3,,Global
41579,11112315,5078,Coelus globosus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,TENEBRIONIDAE,Coelus,globosus,,,,"Leconte, 1852",Vulnerable,A1c,2.3,,Global
41580,11112419,5079,Coelus gracilis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,TENEBRIONIDAE,Coelus,gracilis,,,,"Blaisdell, 1939",Vulnerable,"A1c, D2",2.3,,Global
