,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family
449,61066,292,4032,1,0,0,2,Encyrtidae
450,41607,423,973,0,2,0,1,Eucharitidae
451,107551,14400,16639,25,4,0,169,Eulophidae
452,37641,5,3993,2,0,0,1,Eupelmidae
453,10615,416,535,0,0,0,2,Eurytomidae
454,148243,5364,125076,28,13,4,193,Evaniidae
455,21594,6,408,0,0,0,0,Figitidae
456,1902888,76845,116586,82,43,10,638,Formicidae
457,1942,344,1034,0,0,0,3,Gasteruptiidae
458,641138,14643,81379,60,19,7,250,Halictidae
459,0,0,0,0,0,0,0,Heloridae
460,0,0,0,0,0,0,0,Ibaliidae
461,1642658,42031,309623,203,63,13,1004,Ichneumonidae
462,1893,2431,766,0,2,0,7,Liopteridae
463,0,0,0,0,0,0,0,Maamingidae
464,227252,19332,27367,33,19,2,288,Megachilidae
465,0,0,0,0,0,0,0,Megalodontesidae
466,0,0,0,0,0,0,0,Megalyridae
467,0,0,0,0,0,0,0,Megaspilidae
468,33313,5091,10274,21,4,2,106,Melittidae
469,679,56,2077,0,0,0,2,Monomachidae
470,414575,50110,178359,21,27,5,391,Mutillidae
471,82958,11665,15244,13,11,1,112,Mymaridae
472,0,0,0,0,0,0,0,Mymarommatidae
473,0,0,0,0,0,0,0,Orussidae
474,50687,0,273,0,1,0,0,Pamphiliidae
475,0,0,0,0,0,0,0,Pelecinidae
476,93151,3220,26841,7,2,2,25,Pergidae
477,0,0,0,0,0,0,0,Perilampidae
478,49803,1133,2423,2,2,1,12,Platygastridae
479,0,0,0,0,0,0,0,Plumariidae
480,1011120,33298,410914,43,37,1,629,Pompilidae
481,0,0,0,0,0,0,0,Proctotrupidae
482,155351,2307,61389,10,2,0,30,Pteromalidae
483,0,0,0,0,0,0,0,Roproniidae
484,0,0,0,0,0,0,0,Rotoitidae
485,32919,2872,5011,2,0,0,20,Sapygidae
486,685962,445,5842,3,1,0,10,Scelionidae
487,0,0,0,0,0,0,0,Scolebythidae
488,263401,2051,95838,2,3,1,36,Scoliidae
489,162390,1978,12210,2,1,0,3,Siricidae
490,0,0,0,0,0,0,0,Sierolomorphidae
491,165302,6860,182712,65,64,21,992,Sphecidae
492,9235,654,611,0,0,0,0,Stenotritidae
493,142863,4866,10711,1,1,0,6,Stephanidae
494,291508,2913,10930,0,2,0,18,Tenthredinidae
495,0,0,0,0,0,0,0,Tetracampidae
496,23343,3,139,0,0,0,0,Tiphiidae
497,5189,309,2946,0,1,0,11,Torymidae
498,39442,1130,1797,1,0,0,2,Trichogrammatidae
499,0,0,0,0,0,0,0,Trigonalidae
500,0,0,0,0,0,0,0,Vanhorniidae
